SERIAL,NOMBRE_PRODUCTO,SEGMENTO,PROVEEDOR,RUBRO,SUB_CATEGORIA
7591519316247,BIOCOR AMLO 20MG-5MG  X 30TAB MCK,FARMACIA,X,FARMACIA,RX
7591585317018,PEGYT 75 MG X 20 CAP LETI,FARMACIA,X,FARMACIA,RX
7596914000265,LECHE DESCREMADA SAN SIMON 1 LITRO,MISCELANEOS,"INVERSIONES LACTEAS SAN SIMON, C.A",MISCELANEOS,COMESTIBLES
7593090000713,SINUTIL NOCHE SIN AZUCAR X 9 (DIA/NOCHE)- FC PHARMA,FARMACIA,X,FARMACIA,OTC
7591619518213,ROVARTAL 40MG X 30-ROEMMERS,FARMACIA,X,FARMACIA,RX
7592454138185,CETIRIZINA  10MG X 10TABLETA LA SANTE,FARMACIA,X,FARMACIA,RX
7591519001907,OMEPRAZOL 20MG X 28 CAP CALOX,FARMACIA,X,FARMACIA,RX
7591585110930,GOTAS NASALES NASIN 0.05% LETI,FARMACIA,X,FARMACIA,OTC
7591619520520,RAMIPRES 2.5MG X 30 TAB ROEMMERS,FARMACIA,X,FARMACIA,RX
7592454889605,LORATADINA 10MG X 20 TAB LA SANTE,FARMACIA,X,FARMACIA,RX
7592806132021,MILAX 8.5G EN POLVO TARRO X 360GR - RONAVA,FARMACIA,X,FARMACIA,RX
7707236121549,PIPERACILINA/TAZOBACTAM POLVO P/ SOL. INY 4.0G/0.5G X 1 AMP VITALIS,FARMACIA,SIN DATA,SIN DATA,SIN DATA
7596347792522,MINOXIDIL 2% X 60ML SGG,FARMACIA,X,FARMACIA,OTC
7591821210431,TONERVOL 5MG X 10TAB FARMA SA,FARMACIA,X,FARMACIA,RX
7591020008747,MIRTAZAVAL 30MG X 30 TAB VALMOR CA,FARMACIA,X,FARMACIA,RX
7591818716687,MIOVIT JAB PED S/AZUCAR 90ML COFASA,FARMACIA,X,FARMACIA,RX
7591955558270,NEFROTAL H 50MG/12.5MG X 14 TAB ROWE,FARMACIA,X,FARMACIA,RX
7591619520537,RAMIPRES 5MG X 30 COMP ROEMMERS,FARMACIA,X,FARMACIA,RX
7592454889728,LOSARTAN POTASICO-HIDROCLOROTIAZIDA 100MG-25MG X 30 TAB LA SANTE,FARMACIA,X,FARMACIA,RX
7592904000444,LUBRIX AROMA FRESA 60CM,MISCELANEOS,DROGUERIAS,MISCELANEOS,CUIDADO PERSONAL
7591519006698,VALSARTAN-HIDROCLOROTIAZIDA 80MG/12.5MG X 14 TAB CALOX,FARMACIA,X,FARMACIA,RX
7591519007749,TIOCOLCHICOSIDO 4MG X 12 TAB  CALOX,FARMACIA,X,FARMACIA,RX
7591196003140,NAS SOL. NASAL ADU. 0.1%   15ML OFTALMI,FARMACIA,X,FARMACIA,OTC
7591955558263,NEFROTAL H 100MG/25MG X 30 COMP ROWE,FARMACIA,X,FARMACIA,RX
7591020001625,"SALBUROL 0,5% X 20 ML-VALMORCA",FARMACIA,X,FARMACIA,RX
7703763341092,VALSARTAN-HIDROCLOROTIAZIDA (80MG-12.5MG) X 14 TAB LA SANTE,FARMACIA,X,FARMACIA,RX
7591585317025,PEGYT 150MG X 20 TAB LETI,FARMACIA,X,FARMACIA,RX
7591196002761,TODENAC SOL. OFTALMICA 0.1%/0.3%  5ML,FARMACIA,X,FARMACIA,RX
7703763391172,NITAZOXANIDA 500G X 6 TAB LA SANTE,FARMACIA,X,FARMACIA,RX
7592806132038,MILAX 8.54G EN POLVO TARRO X 120GR- RONAVA,FARMACIA,X,FARMACIA,RX
7591519005622,LOSARTAN POTASICO 50 MG X 10TAB CALOX,FARMACIA,SIN DATA,SIN DATA,SIN DATA
7591196003027,NAS SOL NASAL PED X 15 ML OFTALMI,FARMACIA,X,FARMACIA,OTC
7591196001078,"MELOXICAM 7,5 MG X 10 TAB MEDIGEN",FARMACIA,X,FARMACIA,RX
7595651000057,RECOLECTOR DE HECES X 1 UND H.M.D,FARMACIA,X,FARMACIA,OTC
7591955002803,FERGANIC FOLIC 120ML JBE ADU ROWE,FARMACIA,X,FARMACIA,RX
7591955002797,FERGANIC FOLIC 40MG/350MCG X 20TAB ROWE,FARMACIA,X,FARMACIA,RX
7591955003053,FERGANIC FOLIC MASTICABLE X 30 TABLETAS ROWE,FARMACIA,X,FARMACIA,RX
612197755559,GLUTAPAK K 15GR SUPLEMENTO ALIMENTICIO VICTUS,FARMACIA,X,FARMACIA,OTC
6922954822139,PRESERVATIVO ACANALADO X 4 MZONE,MISCELANEOS,DROGUERIAS,MISCELANEOS,CUIDADO PERSONAL
6922954822115,PRESERVATIVO NATURAL X 4 MZONE,MISCELANEOS,DROGUERIAS,MISCELANEOS,CUIDADO PERSONAL
6922954822122,PRESERVATIVO TEXTURIZADO X 4 MZONE,MISCELANEOS,DROGUERIAS,MISCELANEOS,CUIDADO PERSONAL
7501384547172,OLANZAPINA 5MG X 14 TABLETAS PSICOFARMA,FARMACIA,X,FARMACIA,RX
7592806133110,DECOBEL 0.5MG X 30 TAB RONAVA,FARMACIA,X,FARMACIA,RX
7592803000118,CINAREN 75MG X 20 CAP DOLLDER CA,FARMACIA,X,FARMACIA,RX
7591062011613,TANTUM SPRAY 45ML ELMOR,FARMACIA,X,FARMACIA,RX
7591821901964,VALPRON 250MG/5ML  180ML FARMA SA,FARMACIA,X,FARMACIA,RX
7593255000329,ALCOHOL ANTISEPTICO CONCENTRADO AL 96% 240ML ALNA,FARMACIA,X,FARMACIA,OTC
